qid,doi,title,facet_sim_0,facet_sim_1,facet_sim_2,facet_sim_0_above_floor,facet_sim_1_above_floor,facet_sim_2_above_floor,facet_sims_geometric_mean,single_vector_sim,geography_hit,geography_stored_lac,geography_stored_none,year,age_years,citation_count,citation_rate,sms_level,has_abstract,abstract_length,abs_rating_numeric,repec_percentile,label,label_int
manual-2026-05-20-ai-labor-lac,10.1016/j.euroecorev.2025.105043,AI innovation and the labor share in European regions,0.4167,0.321,0.2875,1,0,0,0.4167,0.56,0,0,0,2025,1,19,9.5,2,1,850,3,0.989,relevant,2
manual-2026-05-20-ai-labor-lac,10.1016/j.jue.2023.103573,Cities and productivity: Evidence from 16 Latin American and Caribbean countries,0.2881,0.5024,0.3379,0,1,0,0.5024,0.5698,1,1,0,2023,3,9,2.25,2,1,965,3,0.981,partial,1
manual-2026-05-20-ai-labor-lac,10.1086/718327,Artificial Intelligence and Jobs: Evidence from Online Vacancies,0.5093,0.4473,0.4787,1,1,1,0.4778,0.6048,0,0,0,2022,4,513,102.6,2,1,703,4,0.996,relevant,2
manual-2026-05-20-ai-labor-lac,10.1086/725248,Measuring Labor Market Power in Developing Countries: Evidence from Colombian Plants,0.3041,0.514,0.4141,0,1,1,0.4614,0.5469,1,1,0,2023,3,21,5.25,3,1,621,4,0.996,partial,1
manual-2026-05-20-ai-labor-lac,10.1111/iere.12176,"EMPLOYMENT PROTECTION, TECHNOLOGY CHOICE, AND WORKER ALLOCATION",0.3849,0.5242,0.4716,1,1,1,0.4566,0.5318,0,0,0,2016,10,116,10.5455,1,1,1015,4,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/jep.31.2.165,Challenges to Mismeasurement Explanations for the US Productivity Slowdown,0.2883,0.5293,0.2892,0,1,0,0.5293,0.4389,0,0,0,2017,9,281,28.1,0,1,1792,4,0.998,relevant,2
manual-2026-05-20-ai-labor-lac,10.1257/jep.35.3.109,Washington Consensus in Latin America: From Raw Model to Straw Man,0.1593,0.3163,0.2587,0,0,0,0,0.4764,1,1,0,2021,5,31,5.1667,1,1,802,4,0.998,partial,1
manual-2026-05-20-ai-labor-lac,10.18235/0013152,AI and the Increase of Productivity and Labor Inequality in Latin America: Potential Impact of Large Language Models on Latin American Workforce,0.269,0.3624,0.371,0,1,1,0.3667,0.7346,1,1,0,2024,2,1,0.3333,0,1,2161,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.2139/ssrn.3065208,Educational upgrading and returns to skills in Latin America: evidence from a supply–demand framework,0.2239,0.3737,0.4166,0,1,1,0.3946,0.5657,1,1,0,2019,7,72,9,1,1,772,0,0.891,partial,1
manual-2026-05-20-ai-labor-lac,10.2139/ssrn.3854185,Labor Market Power in Developing Countries: Evidence from Colombian Plants,0.33,0.5378,0.4353,0,1,1,0.4839,0.5675,1,1,0,2021,5,23,3.8333,4,1,585,0,0.5,partial,1
manual-2026-05-20-ai-labor-lac,10.2139/ssrn.5169611,"Augmenting or Automating Labor? The Effect of AI Development on New Work, Employment, and Wages",0.4851,0.4184,0.4346,1,1,1,0.4452,0.6066,0,0,0,2025,1,8,4,4,1,923,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w24001,Artificial Intelligence and the Modern Productivity Paradox: A Clash of Expectations and Statistics,0.4417,0.4673,0.3042,1,1,0,0.4543,0.5817,0,0,0,2017,9,726,72.6,0,1,1290,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w28657,Productivity Growth and Workers’ Job Transitions: Evidence from Censal Microdata,0.2217,0.5266,0.5711,0,1,1,0.5484,0.5521,1,1,0,2021,5,35,5.8333,2,1,1570,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w30659,Automation and the Workforce: A Firm-Level View from the 2019 Annual Business Survey,0.4731,0.4423,0.3922,1,1,1,0.4346,0.5348,0,0,0,2022,4,84,16.8,2,1,1425,0,0.5,relevant,2
manual-2026-05-20-ai-labor-lac,10.3386/w33777,"Still Waters, Rapid Currents: Early Labor Market Transformation under Generative AI",0.3589,0.4045,0.4461,1,1,1,0.4016,0.5922,0,0,0,2025,1,25,12.5,4,1,1067,0,0.5,partial,1
